Fri Apr  3 22:52:34 PDT 2026 | SKIPPED | rodent_run_gap/progress500_only train_setup.train_config.num_timesteps=300_000_000 train_setup.train_config.prior_residual_start_weight=0.02 train_setup.train_config.prior_residual_end_weight=0.02 logging_config.exp_name=prog500_prior0.02
Tue Apr  7 23:18:00 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_variable_gap.h5 --mode variable_gap --n_episodes 50 --n_envs 8 --min_gaps_crossed 3 --seed 42
Tue Apr  7 23:24:30 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap.h5 --mode fixed_gap --gap_min 0.03 --gap_max 0.20 --gap_step 0.01 --episodes_per_gap 20 --n_envs 4 --n_gaps_per_env 20 --seed 42
Tue Apr  7 23:29:05 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_variable_gap.h5 --mode variable_gap --n_episodes 50 --n_envs 8 --min_gaps_crossed 3 --seed 42
Tue Apr  7 23:32:50 PDT 2026 | SKIPPED | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_fixed_gap.h5 --mode fixed_gap --gap_min 0.03 --gap_max 0.20 --gap_step 0.01 --episodes_per_gap 20 --n_envs 4 --n_gaps_per_env 20 --seed 42
Tue Apr  7 23:42:15 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.03.h5 --mode fixed_gap --gap_min 0.030 --gap_max 0.030 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 42
Tue Apr  7 23:43:10 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.04.h5 --mode fixed_gap --gap_min 0.040 --gap_max 0.040 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 43
Tue Apr  7 23:44:05 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.05.h5 --mode fixed_gap --gap_min 0.050 --gap_max 0.050 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 44
Tue Apr  7 23:45:00 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.06.h5 --mode fixed_gap --gap_min 0.060 --gap_max 0.060 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 45
Tue Apr  7 23:46:00 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.07.h5 --mode fixed_gap --gap_min 0.070 --gap_max 0.070 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 46
Tue Apr  7 23:46:55 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.08.h5 --mode fixed_gap --gap_min 0.080 --gap_max 0.080 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 47
Tue Apr  7 23:47:55 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.09.h5 --mode fixed_gap --gap_min 0.090 --gap_max 0.090 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 48
Tue Apr  7 23:48:55 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.10.h5 --mode fixed_gap --gap_min 0.100 --gap_max 0.100 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 49
Tue Apr  7 23:50:00 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.11.h5 --mode fixed_gap --gap_min 0.110 --gap_max 0.110 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 50
Tue Apr  7 23:50:55 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.12.h5 --mode fixed_gap --gap_min 0.120 --gap_max 0.120 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 51
Tue Apr  7 23:51:55 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.13.h5 --mode fixed_gap --gap_min 0.130 --gap_max 0.130 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 52
Tue Apr  7 23:52:50 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.14.h5 --mode fixed_gap --gap_min 0.140 --gap_max 0.140 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 53
Tue Apr  7 23:53:50 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.15.h5 --mode fixed_gap --gap_min 0.150 --gap_max 0.150 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 54
Tue Apr  7 23:54:40 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.16.h5 --mode fixed_gap --gap_min 0.160 --gap_max 0.160 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 55
Tue Apr  7 23:55:41 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.17.h5 --mode fixed_gap --gap_min 0.170 --gap_max 0.170 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 56
Tue Apr  7 23:56:36 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.18.h5 --mode fixed_gap --gap_min 0.180 --gap_max 0.180 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 57
Tue Apr  7 23:57:36 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.19.h5 --mode fixed_gap --gap_min 0.190 --gap_max 0.190 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 58
Tue Apr  7 23:58:16 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.20.h5 --mode fixed_gap --gap_min 0.200 --gap_max 0.200 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 59
Tue Apr  7 23:59:11 PDT 2026 | SKIPPED | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_fixed_gap_0.03.h5 --mode fixed_gap --gap_min 0.030 --gap_max 0.030 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 42
Wed Apr  8 00:03:26 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_fixed_gap_0.03.h5 --mode fixed_gap --gap_min 0.030 --gap_max 0.030 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 42
Wed Apr  8 00:04:01 PDT 2026 | SKIPPED | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_fixed_gap_0.04.h5 --mode fixed_gap --gap_min 0.040 --gap_max 0.040 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 43
Wed Apr  8 00:06:41 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_fixed_gap_0.04.h5 --mode fixed_gap --gap_min 0.040 --gap_max 0.040 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 43
Wed Apr  8 00:07:36 PDT 2026 | exit=0 | !export XLA_PYTHON_CLIENT_PREALLOCATE=false && cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.04.h5 --mode fixed_gap --gap_min 0.040 --gap_max 0.040 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 43
Wed Apr  8 00:08:31 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.04.h5 --mode fixed_gap --gap_min 0.040 --gap_max 0.040 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 43
Wed Apr  8 00:09:26 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.05.h5 --mode fixed_gap --gap_min 0.050 --gap_max 0.050 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 44
Wed Apr  8 00:10:21 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.06.h5 --mode fixed_gap --gap_min 0.060 --gap_max 0.060 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 45
Wed Apr  8 00:11:16 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.07.h5 --mode fixed_gap --gap_min 0.070 --gap_max 0.070 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 46
Wed Apr  8 00:12:11 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.08.h5 --mode fixed_gap --gap_min 0.080 --gap_max 0.080 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 47
Wed Apr  8 00:13:06 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.09.h5 --mode fixed_gap --gap_min 0.090 --gap_max 0.090 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 48
Wed Apr  8 00:14:01 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.10.h5 --mode fixed_gap --gap_min 0.100 --gap_max 0.100 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 49
Wed Apr  8 00:14:56 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.11.h5 --mode fixed_gap --gap_min 0.110 --gap_max 0.110 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 50
Wed Apr  8 00:15:56 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.12.h5 --mode fixed_gap --gap_min 0.120 --gap_max 0.120 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 51
Wed Apr  8 00:16:51 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.13.h5 --mode fixed_gap --gap_min 0.130 --gap_max 0.130 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 52
Wed Apr  8 00:17:51 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.14.h5 --mode fixed_gap --gap_min 0.140 --gap_max 0.140 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 53
Wed Apr  8 00:18:51 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.15.h5 --mode fixed_gap --gap_min 0.150 --gap_max 0.150 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 54
Wed Apr  8 00:19:01 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.16.h5 --mode fixed_gap --gap_min 0.160 --gap_max 0.160 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 55
Wed Apr  8 00:19:11 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.17.h5 --mode fixed_gap --gap_min 0.170 --gap_max 0.170 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 56
