Fri Apr  3 22:52:34 PDT 2026 | SKIPPED | rodent_run_gap/progress500_only train_setup.train_config.num_timesteps=300_000_000 train_setup.train_config.prior_residual_start_weight=0.02 train_setup.train_config.prior_residual_end_weight=0.02 logging_config.exp_name=prog500_prior0.02
Tue Apr  7 18:31:04 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/SCAMPER && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m scamper.train_prior --config-name=rodent-prior-warp teacher_config.checkpoint_path=/home/talmolab/Desktop/SalkResearch/track-mjx/model_checkpoints/260407_100343_882365 +env_config.reference_data_path=/home/talmolab/Desktop/SalkResearch/track-mjx/data/rodent/rodent_combined_reference_clips.h5 logging_config.exp_name=prior_combined_gap_v1 logging_config.group_name=prior_distillation
Tue Apr  7 18:31:54 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/SCAMPER && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m scamper.train_prior --config-name=rodent-prior-warp teacher_config.checkpoint_path=/home/talmolab/Desktop/SalkResearch/track-mjx/model_checkpoints/260407_100343_882365 +env_config.reference_data_path=/home/talmolab/Desktop/SalkResearch/track-mjx/data/rodent/rodent_combined_reference_clips.h5 logging_config.exp_name=prior_combined_gap_v1 logging_config.group_name=prior_distillation logging_config.model_path=model_checkpoints/
Tue Apr  7 21:13:57 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/SCAMPER && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m scamper.train_prior --config-name=rodent-prior-warp teacher_config.checkpoint_path=/home/talmolab/Desktop/SalkResearch/track-mjx/model_checkpoints/260407_100343_882365 +env_config.reference_data_path=/home/talmolab/Desktop/SalkResearch/track-mjx/data/rodent/rodent_combined_reference_clips.h5 +env_config.reference_stride=1 logging_config.exp_name=prior_combined_gap_v1 logging_config.group_name=prior_distillation logging_config.model_path=model_checkpoints/
Tue Apr  7 21:20:02 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_variable_gap.h5 --mode variable_gap --n_episodes 50 --n_envs 32 --min_gaps_crossed 8 --seed 42
Tue Apr  7 21:24:07 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap.h5 --mode fixed_gap --gap_min 0.03 --gap_max 0.20 --gap_step 0.01 --episodes_per_gap 20 --n_envs 20 --n_gaps_per_env 5 --seed 42
Tue Apr  7 21:26:07 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_variable_gap.h5 --mode variable_gap --n_episodes 50 --n_envs 32 --min_gaps_crossed 8 --seed 42
Tue Apr  7 21:30:32 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_fixed_gap.h5 --mode fixed_gap --gap_min 0.03 --gap_max 0.20 --gap_step 0.01 --episodes_per_gap 20 --n_envs 20 --n_gaps_per_env 5 --seed 42
Tue Apr  7 21:32:32 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260407_154437 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel_range_variable_gap.h5 --mode variable_gap --n_episodes 50 --n_envs 32 --min_gaps_crossed 8 --seed 42
Tue Apr  7 21:37:18 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260407_154437 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel_range_fixed_gap.h5 --mode fixed_gap --gap_min 0.03 --gap_max 0.20 --gap_step 0.01 --episodes_per_gap 20 --n_envs 20 --n_gaps_per_env 5 --seed 42
Tue Apr  7 21:54:53 PDT 2026 | SKIPPED | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_variable_gap.h5 --mode variable_gap --n_episodes 50 --n_envs 2 --min_gaps_crossed 8 --seed 42
